Employment Projections by Industry,,,,,,,,,
Area Name,Industry Code,Industry Group,Industry Title,2021,2030,Net Growth,Annualized,Total,Average Weekly
North Carolina,519000,Sub-Sector,Other Information Services,"3,160","3,529",369,1.2%,11.7%,"2,170.00  $"
North Carolina,521000,Sub-Sector,Monetary Authorities-Central Bank,*,*,*,0.0%,*,*
North Carolina,522000,Sub-Sector,Credit Intermediation and Related Activities,"111,848","120,357","8,509",0.8%,7.6%,"2,295.00  $"
North Carolina,523000,Sub-Sector,"Securities, Commodity Contracts, and Other Financial Investments and Related Activities","27,828","32,600","4,772",1.8%,17.1%,"3,136.00  $"
North Carolina,524000,Sub-Sector,Insurance Carriers and Related Activities,"66,521","71,551","5,030",0.8%,7.6%,"1,719.00  $"
North Carolina,525000,Sub-Sector,"Funds, Trusts, and Other Financial Vehicles",*,*,*,0.0%,*,*
North Carolina,531000,Sub-Sector,Real Estate,"49,896","52,438","2,542",0.6%,5.1%,"1,187.00  $"
North Carolina,532000,Sub-Sector,Rental and Leasing Services,"13,031","13,728",697,0.6%,5.3%,"1,045.00  $"
North Carolina,533000,Sub-Sector,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),508,561,53,1.1%,10.4%,"1,727.00  $"
North Carolina,541000,Sub-Sector,"Professional, Scientific, and Technical Services","289,885","343,361","53,476",1.9%,18.4%,"1,885.00  $"
North Carolina,551000,Sub-Sector,Management of Companies and Enterprises,"76,605","84,121","7,516",1.0%,9.8%,"2,446.00  $"
North Carolina,561000,Sub-Sector,Administrative and Support Services,"298,640","327,949","29,309",1.0%,9.8%,881.00  $
North Carolina,562000,Sub-Sector,Waste Management and Remediation Service,"12,740","14,635","1,895",1.6%,14.9%,"1,012.00  $"
North Carolina,611000,Sub-Sector,Educational Services,"368,400","393,280","24,880",0.7%,6.8%,"1,030.00  $"
North Carolina,621000,Sub-Sector,Ambulatory Health Care Services,"223,808","256,138","32,330",1.5%,14.4%,"1,313.00  $"
North Carolina,622000,Sub-Sector,Hospitals,"210,175","230,389","20,214",1.0%,9.6%,"1,334.00  $"
North Carolina,623000,Sub-Sector,Nursing and Residential Care Facilities,"83,431","91,382","7,951",1.0%,9.5%,700.00  $
North Carolina,624000,Sub-Sector,Social Assistance,"82,678","98,191","15,513",1.9%,18.8%,569.00  $
North Carolina,711000,Sub-Sector,"Performing Arts, Spectator Sports, and Related Industries","12,190","17,735","5,545",4.3%,45.5%,"1,823.00  $"
North Carolina,712000,Sub-Sector,"Museums, Historical Sites, and Similar Institutions","3,655","5,143","1,488",3.9%,40.7%,800.00  $
North Carolina,713000,Sub-Sector,"Amusement, Gambling, and Recreation Industries","50,162","59,813","9,651",2.0%,19.2%,463.00  $
North Carolina,721000,Sub-Sector,Accommodation,"37,282","44,872","7,590",2.1%,20.4%,549.00  $
North Carolina,722000,Sub-Sector,Food Services and Drinking Places,"358,052","417,180","59,128",1.7%,16.5%,405.00  $
North Carolina,811000,Sub-Sector,Repair and Maintenance,"43,063","48,117","5,054",1.2%,11.7%,919.00  $
North Carolina,812000,Sub-Sector,Personal and Laundry Services,*,*,*,1.4%,*,*
North Carolina,813000,Sub-Sector,"Religious, Grantmaking, Civic, Professional, and Similar Organizations","90,558","94,744","4,186",0.5%,4.6%,"1,002.00  $"
North Carolina,814000,Sub-Sector,Private Households,*,*,*,1.0%,*,*
North Carolina,999100,Sub-Sector,"Federal Government, Excluding Postal Service","56,963","61,106","4,143",0.8%,7.3%,*
North Carolina,999200,Sub-Sector,"State Government, Excluding Education and Hospitals","70,948","69,620","-1,328",-0.2%,-1.9%,*
North Carolina,999300,Sub-Sector,"Local Government, Excluding Education and Hospitals","167,672","181,856","14,184",0.9%,8.5%,*
